,methodName,MR1_Not_violated,MR1_Violated,MR2_Not_violated,MR2_Violated,MR3_Not_violated,MR3_Violated,MR4_Not_violated,MR4_Violated,MR5_Not_violated,MR5_Violated,MR6_Not_violated,MR6_Violated
0,add_values,100,0,100,0,100,0,100,0,100,0,100,0
1,average,100,0,100,0,100,0,100,0,0,100,50,50
2,checkNonNegative,100,0,100,0,100,0,100,0,100,0,100,0
3,checkPositive,100,0,100,0,100,0,100,0,100,0,100,0
4,cnt_zeros,100,0,100,0,100,0,100,0,100,0,100,0
5,count_non_zeros,100,0,100,0,100,0,100,0,100,0,100,0
6,durbinWatson,4,96,0,100,100,0,14,86,88,12,48,52
7,entropy,100,0,100,0,100,0,89,11,100,0,100,0
8,find_magnitude,100,0,100,0,100,0,100,0,100,0,100,0
9,find_max,100,0,100,0,100,0,100,0,100,0,100,0
10,find_max2,14,86,100,0,100,0,100,0,74,26,87,13
11,find_median,100,0,100,0,100,0,100,0,9,91,54,46
12,find_min,100,0,100,0,100,0,100,0,49,51,86,14
13,geometric_mean,100,0,100,0,100,0,100,0,0,100,59,41
14,harmonicMean,100,0,100,0,100,0,100,0,3,97,69,31
15,kurtosis,100,0,100,0,100,0,17,83,48,52,65,35
16,max,100,0,100,0,100,0,100,0,100,0,100,0
17,min,100,0,100,0,100,0,100,0,49,51,86,14
18,product,100,0,100,0,100,0,100,0,100,0,100,0
19,safeNorm,100,0,100,0,100,0,100,0,100,0,100,0
20,sampleVariance,100,0,100,0,100,0,100,0,100,0,100,0
21,skew,100,0,100,0,100,0,11,89,81,19,50,50
22,sum,100,0,100,0,100,0,100,0,100,0,100,0
23,sumOfLogarithms,100,0,100,0,100,0,100,0,100,0,100,0
24,variance,100,0,100,0,100,0,100,0,91,9,46,54
