,methodName,MR1_Not_violated,MR1_Violated,MR2_Not_violated,MR2_Violated,MR3_Not_violated,MR3_Violated,MR4_Not_violated,MR4_Violated,MR5_Not_violated,MR5_Violated,MR6_Not_violated,MR6_Violated
0,add_values,100,0,100,0,46,54,37,44,100,0,50,50
1,average,100,0,100,0,46,54,37,44,80,20,50,50
2,checkNonNegative,100,0,100,0,100,0,81,0,100,0,98,2
3,checkPositive,100,0,100,0,100,0,81,0,100,0,98,2
4,cnt_zeros,100,0,84,16,100,0,81,0,100,0,100,0
5,count_non_zeros,100,0,84,16,100,0,81,0,100,0,100,0
6,durbinWatson,4,96,41,59,100,0,39,42,80,20,55,45
7,entropy,5,94,2,95,5,94,3,77,2,95,5,93
8,find_magnitude,100,0,60,40,100,0,81,0,100,0,100,0
9,find_max,100,0,100,0,98,2,79,2,100,0,100,0
10,find_max2,25,75,100,0,92,8,73,8,100,0,100,0
11,find_median,100,0,100,0,49,51,38,43,75,25,55,45
12,find_min,100,0,100,0,2,98,2,79,99,1,87,13
13,geometric_mean,59,0,24,19,59,0,40,0,19,40,28,9
14,harmonicMean,81,0,43,23,40,41,40,41,17,64,41,40
15,kurtosis,100,0,100,0,100,0,19,62,80,20,65,35
16,max,100,0,100,0,98,2,79,2,100,0,100,0
17,min,100,0,100,0,2,98,2,79,99,1,87,13
18,product,100,0,52,48,59,41,40,41,59,41,59,41
19,safeNorm,100,0,60,40,100,0,81,0,100,0,100,0
20,sampleVariance,100,0,100,0,100,0,81,0,100,0,100,0
21,skew,100,0,100,0,100,0,40,41,18,82,50,50
22,sum,100,0,100,0,46,54,37,44,100,0,50,50
23,sumOfLogarithms,81,0,34,32,81,0,81,0,81,0,81,0
24,variance,100,0,100,0,100,0,81,0,9,91,46,54
