,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
0,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
1,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
2,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
3,,,d/0,,,,,Violated,NA -> d/0,Violated,Violated,Violated,Violated
4,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
5,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
6,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
7,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
8,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
9,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
10,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
11,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
12,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
13,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
14,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
15,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
16,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
17,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
18,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
19,,,,,,,d/0,Violated,Violated,Violated,Violated,Violated,NA -> d/0
20,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
21,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
22,1.7077475356589376,1.7077475356589376,1.7382072198744736,1.7077475356589376,1.695968243941963,1.8058400176413267,1.5096264906546344,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
23,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
24,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
25,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
26,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
27,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
28,,,,,d/0,,-0.0,Violated,Violated,Violated,NA -> d/0,Violated,Violated
29,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
30,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
31,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
32,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
33,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
34,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
35,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
36,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
37,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
38,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
39,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
40,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
41,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
42,1.072016968563193,1.072016968563193,1.3598563606402483,1.072016968563193,d/0,1.252762968495368,0.6698932216137069,Not-violated,Not-violated,Not-violated,NA -> d/0,Not-violated,Not-violated
43,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
44,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
45,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
46,,,,,,,0.6591525038229908,Violated,Violated,Violated,Violated,Violated,Violated
47,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
48,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
49,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
50,0.8030836701205181,0.8030836701205181,0.9347698978582792,0.8030836701205181,0.4094586186417212,1.0158732501496575,0.2145591551764051,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
51,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
52,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
53,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
54,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
55,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
56,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
57,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
58,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
59,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
60,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
61,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
62,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
63,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
64,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
65,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
66,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
67,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
68,,,,,,,d/0,Violated,Violated,Violated,Violated,Violated,NA -> d/0
69,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
70,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
71,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
72,,,1.5763897439427126,,,,,Violated,Violated,Violated,Violated,Violated,Violated
73,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
74,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
75,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
76,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
77,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
78,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
79,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
80,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
81,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
82,0.880241970754113,0.8802419707541131,0.9813142444383203,0.880241970754113,0.7036807611221144,1.1088484408077643,0.6759010305740114,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
83,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
84,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
85,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
86,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
87,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
88,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
89,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
90,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
91,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
92,,,,,,,0.9681898316879867,Violated,Violated,Violated,Violated,Violated,Violated
93,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
94,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
95,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
96,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
97,d/0,d/0,,d/0,,,,NA -> d/0,something happend,NA -> d/0,something happend,something happend,something happend
98,,,,,,,1.0820397581034544,Violated,Violated,Violated,Violated,Violated,Violated
99,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
100,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
101,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
102,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
103,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
104,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
105,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
106,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
107,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
108,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
109,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
110,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
111,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
112,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
113,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
114,,,,,,,0.6911927820032008,Violated,Violated,Violated,Violated,Violated,Violated
115,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
116,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
117,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
118,,,,,,,0.8721383253204975,Violated,Violated,Violated,Violated,Violated,Violated
119,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
120,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
121,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
122,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
123,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
124,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
125,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
126,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
127,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
128,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
129,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
130,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
131,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
132,,,,,,,,Violated,Violated,Violated,Violated,Violated,Violated
133,,,,,d/0,,,Violated,Violated,Violated,NA -> d/0,Violated,Violated
