,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
0,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
1,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
2,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
3,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
4,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
5,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
6,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
7,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
8,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
9,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
10,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
11,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
12,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
13,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
14,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
15,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
16,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
17,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
18,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
19,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
20,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
21,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
22,14.52595723560228,14.525957235602279,16.041905512600273,21.117630967610943,-14.52595723570228,15.62456952427039,11.81790703450007,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
23,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
24,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
25,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
26,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
27,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
28,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
29,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
30,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
31,d/0,d/0,d/0,d/0,d/0,d/0,d/0,NA input type,NA input type,,NA -> d/0,,
