,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,7,7,40,21,1.4031663813,10,-4
1,44,44,65,132,0.2710030165,47,52
2,4,4,40,12,d/0,7,9
3,-15,-15,0,-45,0.0471861472,-12,-5
4,39,39,57,117,0.10694444450000001,42,21
5,27,27,69,81,-1.7337469118,30,20
6,-9,-9,3,-27,-0.44999999999999996,-6,-5
7,20,20,59,60,d/0,23,32
8,32,32,65,96,0.4750285661000002,35,42
9,-15,-15,9,-45,d/0,-12,-23
10,-79,-79,-49,-237,-1.5852272725999998,-76,-75
11,-9,-9,12,-27,-0.07500000000000001,-6,-1
12,40,40,61,120,0.7266556972,43,39
13,51,51,84,153,d/0,54,46
14,37,37,64,111,0.3516806723,40,45
15,-21,-21,-6,-63,-0.0386455649,-18,-2
16,10,10,19,30,0.1171568627,13,-7
17,-13,-13,11,-39,-1.5718656343,-10,-12
18,-32,-32,7,-96,0.04855381539999998,-29,-29
19,9,9,42,27,-0.6298229549000001,12,0
20,-26,-26,13,-78,d/0,-23,-35
21,-15,-15,3,-45,0.7832722833000001,-12,3
22,74,74,92,222,0.5876455846,77,59
23,-17,-17,7,-51,0.299501887,-14,-33
24,90,90,129,270,0.11865079389999988,93,91
25,-14,-14,28,-42,-0.6227124182999998,-11,-23
26,-36,-36,-15,-108,0.0795030564,-33,-19
27,-48,-48,-21,-144,-1.4185406699,-45,-46
28,-12,-12,-3,-36,d/0,-9,-13
29,-35,-35,-14,-105,-1.4936868687,-32,-29
30,-36,-36,-18,-108,-0.060317460300000014,-33,-18
31,36,36,57,108,0.3154512153,39,32
32,-4,-4,20,-12,-0.8026806527,-1,-14
33,57,57,84,171,2.036013986,60,56
34,-23,-23,10,-69,-0.1376623375,-20,-3
35,9,9,48,27,-0.7727161726999998,12,-6
36,-9,-9,27,-27,d/0,-6,-10
37,-4,-4,11,-12,d/0,-1,-1
38,88,88,127,264,-0.2247771836,91,71
39,-99,-99,-60,-297,-0.265610718,-96,-95
40,-30,-30,-12,-90,-0.7841880342,-27,-27
41,22,22,61,66,1.4151233571000001,25,15
42,39,39,54,117,d/0,42,23
43,-48,-48,-15,-144,d/0,-45,-46
44,16,16,25,48,-0.009090909100000003,19,5
45,6,6,45,18,d/0,9,24
46,16,16,25,48,0.0679144385,19,27
47,-46,-46,-10,-138,d/0,-43,-38
48,-8,-8,4,-24,1.5611111111,-5,-17
49,-23,-23,-5,-69,0.4037176274,-20,-27
50,35,35,44,105,1.1176470587999998,38,18
51,53,53,80,159,0.5475940726,56,40
52,10,10,43,30,-0.6925131457,13,13
53,9,9,21,27,-0.12857142859999993,12,8
54,-21,-21,-3,-63,0.9810457515,-18,-22
55,-2,-2,16,-6,-0.2861111110000001,1,10
56,19,19,43,57,1.0595238096000001,22,13
57,-35,-35,-23,-105,-0.13304093560000002,-32,-16
58,-31,-31,11,-93,-0.8382173381,-28,-32
59,-40,-40,-10,-120,-0.8337985542999999,-37,-35
60,8,8,29,24,0.20119047619999997,11,19
61,14,14,44,42,1.2331349206000002,17,10
62,8,8,47,24,0.4271936396,11,-1
63,-16,-16,14,-48,d/0,-13,-29
64,35,35,68,105,d/0,38,35
65,4,4,28,12,-1.1424242424,7,7
66,-32,-32,4,-96,-0.6375439918999999,-29,-41
67,-11,-11,31,-33,d/0,-8,-8
68,18,18,27,54,0.0555555556,21,0
69,-60,-60,-24,-180,d/0,-57,-41
70,22,22,37,66,0.019140989699999986,25,8
71,49,49,73,147,d/0,52,49
72,48,48,66,144,-0.055701754400000025,51,46
73,6,6,15,18,0.4658119658,9,4
74,-9,-9,3,-27,0.0938571233,-6,2
75,29,29,47,87,0.6529761905,32,23
76,25,25,34,75,-0.003676470600000002,28,8
77,54,54,81,162,d/0,57,42
78,5,5,20,15,-0.3075757576,8,11
79,-10,-10,5,-30,d/0,-7,-14
80,13,13,43,39,0.4082760376,16,12
81,-33,-33,9,-99,0.72120292,-30,-35
82,29,29,38,87,0.6534090909,32,27
83,-120,-120,-81,-360,-0.3760193023,-117,-116
84,-34,-34,-22,-102,-0.1178321678,-31,-21
85,47,47,80,141,-1.2968142967999998,50,33
86,23,23,38,69,d/0,26,9
87,-15,-15,6,-45,-1.0957972583,-12,-1
88,28,28,43,84,1.1266806723,31,20
89,-33,-33,-9,-99,0.4379819743000001,-30,-14
90,51,51,72,153,-0.5927115583999999,54,66
91,-53,-53,-11,-159,d/0,-50,-60
92,14,14,29,42,1.1786324787,17,27
93,13,13,46,39,-0.3493395493,16,24
94,6,6,42,18,0.7385493590999999,9,13
95,-44,-44,-2,-132,0.7424852923999999,-41,-33
96,35,35,53,105,-0.5927637721,38,17
97,0,0,21,0,-0.536370574,3,2
98,-34,-34,-22,-102,-0.12216117219999997,-31,-48
99,56,56,89,168,0.03779178350000001,59,60
100,25,25,52,75,-0.3241129785,28,33
101,-34,-34,2,-102,-1.3082561444,-31,-21
102,-49,-49,-22,-147,-0.10638528139999999,-46,-36
103,16,16,34,48,1.0337912089,19,8
104,-76,-76,-37,-228,-0.7446621359,-73,-62
105,-31,-31,11,-93,d/0,-28,-31
106,-14,-14,4,-42,d/0,-11,-9
107,10,10,37,30,-1.4499999999,13,-6
108,3,3,30,9,-0.7396825396999999,6,22
109,30,30,69,90,0.3990601933999999,33,34
110,26,26,65,78,d/0,29,17
111,2,2,26,6,-0.10164835160000005,5,-11
112,-14,-14,7,-42,d/0,-11,-17
113,-32,-32,10,-96,-0.4558061821,-29,-18
114,-31,-31,-22,-93,0.8745098039,-28,-32
115,-10,-10,2,-30,0.34117647059999995,-7,-5
116,24,24,51,72,0.8177881759000002,27,34
117,-71,-71,-47,-213,d/0,-68,-53
118,25,25,37,75,0.5213235294,28,35
119,24,24,51,72,d/0,27,29
120,-65,-65,-47,-195,0.5814102564,-62,-57
121,8,8,26,24,1.1428571429,11,20
122,-8,-8,10,-24,d/0,-5,-8
123,-5,-5,10,-15,0.5536324787,-2,15
124,-44,-44,-26,-132,-0.7707282913000001,-41,-24
125,-24,-24,12,-72,d/0,-21,-39
126,3,3,27,9,-0.1629851142,6,7
127,5,5,17,15,-0.023611111000000004,8,17
128,-48,-48,-9,-144,1.4866541353999998,-45,-38
129,21,21,33,63,d/0,24,21
130,-13,-13,5,-39,-0.47502497499999996,-10,-10
131,-44,-44,-29,-132,-0.22027041590000002,-41,-31
132,11,11,47,33,0.5327168747,14,17
133,14,14,56,42,d/0,17,15
134,-44,-44,-32,-132,-0.5380952381,-41,-40
135,-6,-6,3,-18,0.3078431373,-3,11
136,39,39,51,117,d/0,42,20
137,-77,-77,-47,-231,-0.8754161042000002,-74,-90
138,-66,-66,-36,-198,d/0,-63,-63
139,-7,-7,2,-21,-0.1090086384,-4,-24
140,15,15,39,45,0.289232886,18,35
141,13,13,22,39,0.1477124183,16,-4
