,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,11,11,11,11,11,12,10
1,7,7,7,7,7,8,6
2,11,11,12,11,d/0,12,10
3,5,5,5,5,5,6,4
4,6,6,6,6,6,7,5
5,14,14,13,14,14,15,13
6,4,4,4,4,4,5,3
7,12,12,13,12,d/0,13,11
8,11,11,11,11,11,12,10
9,7,7,8,7,d/0,8,6
10,10,10,9,10,10,11,9
11,7,7,7,7,7,8,6
12,7,7,7,7,7,8,6
13,10,10,11,10,d/0,11,9
14,9,9,9,9,9,10,8
15,5,5,5,5,5,6,4
16,3,3,3,3,3,4,2
17,8,8,8,8,8,9,7
18,13,13,12,13,13,14,12
19,11,11,11,11,11,12,10
20,10,10,13,10,d/0,11,9
21,6,6,5,6,6,7,5
22,6,6,6,6,6,7,5
23,8,8,8,8,8,9,7
24,13,13,12,13,13,14,12
25,14,14,14,14,14,15,13
26,7,7,7,7,7,8,6
27,9,9,9,9,9,10,8
28,2,2,3,2,d/0,3,1
29,7,7,7,7,7,8,6
30,6,6,6,6,6,7,5
31,7,7,7,7,7,8,6
32,8,8,8,8,8,9,7
33,9,9,9,9,9,10,8
34,11,11,10,11,11,12,10
35,13,13,12,13,13,14,12
36,11,11,12,11,d/0,12,10
37,4,4,4,4,d/0,5,3
38,13,13,13,13,13,14,12
39,13,13,13,13,13,14,12
40,6,6,5,6,6,7,5
41,13,13,13,13,13,14,12
42,4,4,5,4,d/0,5,3
43,10,10,10,10,d/0,11,9
44,3,3,3,3,3,4,2
45,12,12,13,12,d/0,13,11
46,3,3,3,3,3,4,2
47,11,11,11,11,d/0,12,10
48,4,4,4,4,4,5,3
49,6,6,6,6,6,7,5
50,3,3,3,3,3,4,2
51,9,9,9,9,9,10,8
52,11,11,10,11,11,12,10
53,4,4,4,4,4,5,3
54,6,6,6,6,6,7,5
55,6,6,6,6,6,7,5
56,8,8,7,8,8,9,7
57,4,4,4,4,4,5,3
58,14,14,12,14,14,15,13
59,10,10,10,10,10,11,9
60,7,7,7,7,7,8,6
61,10,10,10,10,10,11,9
62,13,13,13,13,13,14,12
63,9,9,10,9,d/0,10,8
64,10,10,11,10,d/0,11,10
65,8,8,6,8,8,9,7
66,12,12,10,12,12,13,11
67,13,13,13,13,d/0,14,12
68,3,3,3,3,3,4,2
69,10,10,11,10,d/0,11,9
70,5,5,5,5,5,6,4
71,6,6,8,6,d/0,7,6
72,6,6,6,6,6,7,5
73,3,3,3,3,3,4,2
74,4,4,4,4,4,5,3
75,6,6,6,6,6,7,5
76,3,3,3,3,3,4,2
77,8,8,9,8,d/0,9,7
78,5,5,5,5,5,6,4
79,4,4,5,4,d/0,5,3
80,10,10,10,10,10,11,9
81,14,14,14,14,14,15,13
82,3,3,3,3,3,4,2
83,13,13,13,13,13,14,12
84,4,4,4,4,4,5,3
85,11,11,10,11,11,12,10
86,4,4,5,4,d/0,5,3
87,7,7,7,7,7,8,6
88,5,5,5,5,5,6,4
89,8,8,7,8,8,9,7
90,7,7,7,7,7,8,6
91,13,13,14,13,d/0,14,12
92,5,5,5,5,5,6,4
93,11,11,11,11,11,12,10
94,12,12,12,12,12,13,11
95,14,14,13,14,14,15,13
96,6,6,6,6,6,7,5
97,7,7,7,7,7,8,6
98,4,4,4,4,4,5,3
99,11,11,11,11,11,12,10
100,9,9,9,9,9,10,8
101,12,12,11,12,12,13,11
102,9,9,9,9,9,10,8
103,6,6,6,6,6,7,5
104,13,13,13,13,13,14,12
105,13,13,14,13,d/0,14,13
106,5,5,6,5,d/0,6,4
107,9,9,7,9,9,10,8
108,9,9,9,9,9,10,8
109,13,13,13,13,13,14,12
110,12,12,11,12,d/0,13,11
111,8,8,7,8,8,9,7
112,6,6,7,6,d/0,7,5
113,14,14,14,14,14,15,13
114,3,3,3,3,3,4,2
115,4,4,4,4,4,5,3
116,9,9,9,9,9,10,8
117,7,7,8,7,d/0,8,6
118,4,4,4,4,4,5,3
119,8,8,9,8,d/0,9,7
120,6,6,6,6,6,7,5
121,6,6,6,6,6,7,5
122,5,5,6,5,d/0,6,5
123,5,5,5,5,5,6,4
124,6,6,4,6,6,7,5
125,11,11,12,11,d/0,12,10
126,8,8,8,8,8,9,7
127,4,4,4,4,4,5,3
128,13,13,13,13,13,14,12
129,3,3,4,3,d/0,4,3
130,6,6,5,6,6,7,5
131,5,5,5,5,5,6,4
132,12,12,11,12,12,13,11
133,13,13,13,13,d/0,14,12
134,4,4,4,4,4,5,3
135,3,3,3,3,3,4,2
136,3,3,4,3,d/0,4,2
137,10,10,10,10,10,11,9
138,9,9,9,9,d/0,10,8
139,3,3,3,3,3,4,2
140,8,8,8,8,8,9,7
141,3,3,3,3,3,4,2
142,6,6,5,6,6,7,5
143,11,11,12,11,d/0,12,10
144,5,5,4,5,5,6,4
145,7,7,7,7,7,8,6
146,6,6,6,6,6,7,5
147,12,12,13,12,d/0,13,11
148,4,4,3,4,4,5,3
149,8,8,8,8,8,9,7
150,7,7,6,7,7,8,6
151,10,10,10,10,10,11,9
152,4,4,4,4,4,5,3
153,7,7,7,7,7,8,6
154,7,7,7,7,7,8,6
155,11,11,11,11,11,12,10
156,10,10,10,10,10,11,9
157,9,9,10,9,d/0,10,8
158,3,3,3,3,3,4,2
159,7,7,6,7,7,8,6
160,9,9,8,9,9,10,8
161,12,12,12,12,12,13,11
162,11,11,12,11,d/0,12,10
163,13,13,13,13,13,14,12
164,13,13,14,13,d/0,14,12
165,13,13,13,13,d/0,14,12
166,3,3,3,3,3,4,2
167,6,6,6,6,6,7,5
168,11,11,11,11,11,12,10
169,3,3,3,3,3,4,2
170,14,14,14,14,14,15,13
171,5,5,4,5,5,6,4
172,11,11,12,11,d/0,12,11
173,14,14,12,14,14,15,13
174,14,14,13,14,14,15,13
175,3,3,3,3,3,4,2
176,3,3,3,3,3,4,2
177,11,11,11,11,11,12,10
178,8,8,7,8,8,9,7
179,9,9,10,9,d/0,10,9
180,9,9,10,9,d/0,10,8
181,12,12,11,12,12,13,11
182,12,12,12,12,12,13,11
183,14,14,14,14,14,15,13
184,14,14,14,14,14,15,13
185,7,7,7,7,7,8,6
186,12,12,13,12,d/0,13,11
187,4,4,5,4,d/0,5,3
188,8,8,8,8,8,9,7
189,6,6,5,6,6,7,5
190,14,14,14,14,14,15,13
191,9,9,10,9,d/0,10,8
192,11,11,12,11,d/0,12,10
193,10,10,10,10,d/0,11,9
194,14,14,14,14,14,15,13
195,6,6,6,6,6,7,5
196,13,13,14,13,d/0,14,12
197,4,4,4,4,4,5,3
198,10,10,10,10,10,11,9
199,11,11,11,11,11,12,10
200,3,3,3,3,3,4,2
201,9,9,9,9,9,10,8
