,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,,,,,,,
1,,,,,,,
2,,,,,d/0,,
3,,,d/0,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,d/0,,
8,,,,,,,
9,,,,,d/0,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,d/0,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,d/0
20,,,,,d/0,,
21,,,,,,,
22,1.7077475356589376,1.7077475356589376,1.7382072198744736,1.7077475356589376,1.695968243941963,1.8058400176413267,1.5096264906546344
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,d/0,,-0.0
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,d/0,,
37,,,,,d/0,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,1.072016968563193,1.072016968563193,1.3598563606402483,1.072016968563193,d/0,1.252762968495368,0.6698932216137069
43,,,,,d/0,,
44,,,,,,,
45,,,,,d/0,,
46,,,,,,,0.6591525038229908
47,,,,,d/0,,
48,,,,,,,
49,,,,,,,
50,0.8030836701205181,0.8030836701205181,0.9347698978582792,0.8030836701205181,0.4094586186417212,1.0158732501496575,0.2145591551764051
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,,,,,,,
55,,,,,,,
56,,,,,,,
57,,,,,,,
58,,,,,,,
59,,,,,,,
60,,,,,,,
61,,,,,,,
62,,,,,,,
63,,,,,d/0,,
64,,,,,d/0,,
65,,,,,,,
66,,,,,,,
67,,,,,d/0,,
68,,,,,,,d/0
69,,,,,d/0,,
70,,,,,,,
71,,,,,d/0,,
72,,,1.5763897439427126,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,d/0,,
78,,,,,,,
79,,,,,d/0,,
80,,,,,,,
81,,,,,,,
82,0.880241970754113,0.8802419707541131,0.9813142444383203,0.880241970754113,0.7036807611221144,1.1088484408077643,0.6759010305740114
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,d/0,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,d/0,,
92,,,,,,,0.9681898316879867
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,d/0,d/0,,d/0,,,
98,,,,,,,1.0820397581034544
99,,,,,,,
100,,,,,,,
101,,,,,,,
102,,,,,,,
103,,,,,,,
104,,,,,,,
105,,,,,d/0,,
106,,,,,d/0,,
107,,,,,,,
108,,,,,,,
109,,,,,,,
110,,,,,d/0,,
111,,,,,,,
112,,,,,d/0,,
113,,,,,,,
114,,,,,,,0.6911927820032008
115,,,,,,,
116,,,,,,,
