,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,23,24,29,69,1.0769230769,23,23
1,30,23,36,90,0.4333333333,30,30
2,20,35,26,60,d/0,20,20
3,4,4,10,12,0.1666666667,4,2
4,33,21,39,99,0.1222222223,33,10
5,32,11,38,96,0.1254901961,32,32
6,-4,0,2,-12,0.8,-1,-4
7,33,33,39,99,d/0,33,33
8,30,34,36,90,0.3269230769,30,30
9,10,15,16,30,d/0,11,10
10,1,1,7,3,0.41666666669999997,1,1
11,11,8,17,33,0.1875,11,11
12,32,36,38,96,1.0588235294,32,32
13,28,29,34,84,d/0,28,28
14,32,29,38,96,0.32142857140000003,32,32
15,0,20,6,0,0.0584795322,0,0
16,2,25,8,6,0.0583333333,20,-7
17,27,27,33,81,0.5625,27,27
18,19,18,25,57,0.44444444439999997,19,19
19,25,25,31,75,0.5,25,25
20,11,17,17,33,d/0,12,11
21,10,10,16,30,1.1666666667,10,10
22,32,36,38,96,0.2666666667,32,29
23,14,19,20,42,0.42424242419999997,19,14
24,33,33,39,99,0.5555555556,33,33
25,25,21,31,75,1.125,25,25
26,22,29,28,66,0.2435897436,22,22
27,1,1,7,3,0.375,1,1
28,-12,-12,-6,-36,d/0,4,-13
29,8,16,14,24,-0.032085561500000005,8,8
30,0,12,6,0,0.09523809529999999,0,0
31,23,23,29,69,0.3269230769,23,23
32,7,9,13,21,0.013986014000000005,13,7
33,27,25,33,81,0.9090909091,27,27
34,17,17,23,51,0.3333333334,17,17
35,28,32,34,84,0.19444444440000003,28,28
36,22,21,28,66,d/0,22,22
37,15,9,21,45,d/0,15,15
38,23,23,29,69,0.5,23,23
39,8,2,14,24,0.9375,8,8
40,4,10,10,12,-0.03418803420000001,4,4
41,28,25,34,84,1.5,28,28
42,20,21,26,60,d/0,20,20
43,12,19,18,36,d/0,12,12
44,21,21,27,63,0.19090909090000002,21,5
45,23,26,29,69,d/0,23,23
46,27,6,33,81,0.1588235294,27,27
47,15,8,21,45,d/0,15,15
48,11,10,17,33,1.5,12,3
