,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
0,5.0,5.0,8.0,15.0,0.0769230769,4.0,3.0
1,10.0,10.0,13.0,30.0,0.0769230769,6.5,11.5
2,-0.5,-0.5,2.5,-1.5,d/0,0.0,0.0
3,-10.0,-10.0,-7.0,-30.0,-0.0833333333,-3.5,-3.5
4,10.0,10.0,13.0,30.0,0.0590277778,5.0,5.0
5,-2.0,-2.0,1.0,-6.0,-0.09166666665,-1.0,-3.0
6,-2.5,-2.5,0.5,-7.5,-0.225,-1.0,-1.0
7,3.0,3.0,6.0,9.0,d/0,3.0,6.0
8,5.0,5.0,8.0,15.0,0.0588235294,4.5,7.0
9,1.0,1.0,4.0,3.0,d/0,2.0,0.0
10,-11.0,-11.0,-8.0,-33.0,-0.0909090909,-11.0,-11.0
11,-5.0,-5.0,-2.0,-15.0,-0.0625,-1.0,-0.5
12,11.0,11.0,14.0,33.0,0.0588235294,7.0,12.0
13,3.0,3.0,6.0,9.0,d/0,3.0,3.0
14,7.0,7.0,10.0,21.0,0.0666666667,5.5,7.5
15,-9.0,-9.0,-6.0,-27.0,-0.0526315789,-3.0,0.0
16,8.0,8.0,11.0,24.0,0.0588235294,5.5,-3.5
17,-1.0,-1.0,2.0,-3.0,-0.07417582415,-1.0,-1.0
18,-3.0,-3.0,0.0,-9.0,-0.0588235294,0.0,-2.0
19,3.0,3.0,6.0,9.0,0.0769230769,3.0,1.0
20,0.0,0.0,3.0,0.0,d/0,0.0,0.0
21,-1.0,-1.0,2.0,-3.0,0.010683760649999999,1.0,1.0
22,12.5,12.5,15.5,37.5,0.08333333335000001,10.0,10.0
23,-4.5,-4.5,-1.5,-13.5,0.0034722221999999997,3.0,-12.0
24,8.0,8.0,11.0,24.0,0.0666666667,7.5,9.0
25,0.0,0.0,3.0,0.0,0.0,1.0,-1.0
26,-16.0,-16.0,-13.0,-48.0,-0.0526315789,-6.5,-5.0
27,-6.0,-6.0,-3.0,-18.0,-0.0909090909,-4.0,-7.0
28,0.0,0.0,3.0,0.0,d/0,0.5,-6.5
29,-8.0,-8.0,-5.0,-24.0,-0.1111111111,-7.0,-8.5
30,-8.0,-8.0,-5.0,-24.0,-0.0634920635,-6.0,-6.0
31,10.0,10.0,13.0,30.0,0.0833333333,7.0,10.5
32,-3.0,-3.0,0.0,-9.0,-0.1217948718,-2.0,-4.0
33,10.0,10.0,13.0,30.0,0.1,7.5,10.0
34,-3.0,-3.0,0.0,-9.0,-0.05,0.0,1.5
35,-2.0,-2.0,1.0,-6.0,-0.0526315789,0.5,-2.5
36,0.5,0.5,3.5,1.5,d/0,1.0,0.0
37,-3.0,-3.0,0.0,-9.0,d/0,-1.5,-3.0
38,6.0,6.0,9.0,18.0,0.0909090909,5.5,5.5
