,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
22,14.52595723560228,14.52595723560228,16.041905512600273,21.117630967610943,-14.52595723570228,15.62456952427039,11.81790703450007,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
50,5.666426688112432,5.666426688112432,7.377758908227872,8.962263554116761,-5.666426688512432,6.765038976780542,2.833213344056216,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
82,5.863631175598098,5.863631175598098,7.1929342212158,9.159468041602429,-5.863631175698098,6.962243464266208,5.170483995038152,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
169,5.480638923341991,5.48063892334199,6.674561391814427,8.776475789346321,-5.480638923141991,6.579251212010101,3.87120101090789,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
211,6.915723448631313,6.915723448631314,10.154401900795694,12.40878489197186,-6.915723448931313,8.014335737299422,6.915723448631313,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
243,3.58351893845611,3.58351893845611,5.598421958998375,6.879355804460438,-3.58351893835611,4.68213122712422,2.8903717578961645,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
286,8.026170194946427,8.026170194946427,8.605204068738951,11.322007060950757,-8.026170194346427,9.124782483614537,5.19295685089021,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
309,7.339537695407675,7.339537695407675,9.116029692504942,11.733986850080116,-7.339537695207674,8.438149984075785,5.0369526024136295,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
317,4.382026634673881,4.382026634673881,6.410174881966166,7.67786350067821,-4.382026634673881,5.480638923341991,1.6094379124341005,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
362,6.302618975744905,6.302618975744904,7.272398392570047,9.598455841749232,-6.302618975544905,7.401231264413015,4.356708826689592,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
