,input,input_type,values_type,size
0,"[7, 2, 1, 8, 9, 14]",<class 'list'>,<class 'int'>,6
1,"[12, 0, 13, 3, 0, 5, 6, 8, 2]",<class 'list'>,<class 'int'>,9
2,"[13, 3, 13, 2, 2, 5, 2, 1, 11, 4, 13, 9, 4]",<class 'list'>,<class 'int'>,13
3,"[10, 12, 4, 6, 8, 13, 4]",<class 'list'>,<class 'int'>,7
4,"[9, 14, 11, 6, 13, 12, 10, 0, 3, 0, 4]",<class 'list'>,<class 'int'>,11
5,"[1, 0, 9, 14, 14, 1, 9, 4, 12, 1, 10]",<class 'list'>,<class 'int'>,11
6,"[12, 3, 2, 2, 7, 2, 2, 3, 3, 11, 10, 2]",<class 'list'>,<class 'int'>,12
7,"[6, 7, 6, 0, 14, 9, 6, 13, 0, 8, 1, 14]",<class 'list'>,<class 'int'>,12
8,"[9, 12, 10, 5, 0]",<class 'list'>,<class 'int'>,5
9,"[10, 5, 13, 5, 0, 5]",<class 'list'>,<class 'int'>,6
10,"[6, 14, 1, 11, 6, 14, 10]",<class 'list'>,<class 'int'>,7
11,"[4, 7, 5, 7, 4, 8, 12, 6, 8, 0, 5, 1]",<class 'list'>,<class 'int'>,12
12,"[4, 2, 4, 2, 1, 3, 14, 13, 4, 2, 12]",<class 'list'>,<class 'int'>,11
13,"[11, 4, 7, 11]",<class 'list'>,<class 'int'>,4
14,"[10, 1, 9, 9, 9, 9, 13, 9]",<class 'list'>,<class 'int'>,8
15,"[2, 10, 9, 5, 0, 3, 9, 7, 4]",<class 'list'>,<class 'int'>,9
16,"[9, 10, 8, 13, 6, 10]",<class 'list'>,<class 'int'>,6
17,"[5, 6, 9, 14, 5, 1, 7, 11, 6, 11, 2]",<class 'list'>,<class 'int'>,11
18,"[1, 0, 12, 0, 6, 10, 5, 0]",<class 'list'>,<class 'int'>,8
19,"[5, 6, 13, 13, 10, 8, 8, 0, 11, 11, 1, 8, 9, 9]",<class 'list'>,<class 'int'>,14
20,"[13, 10, 2, 3, 11]",<class 'list'>,<class 'int'>,5
21,"[0, 14, 13, 8, 10, 13, 5, 7, 11, 10, 6, 13, 6]",<class 'list'>,<class 'int'>,13
22,"[14, 0, 5, 8, 11, 0, 3, 0, 11, 14, 14, 4]",<class 'list'>,<class 'int'>,12
23,"[13, 10, 9, 6]",<class 'list'>,<class 'int'>,4
24,"[6, 5, 14, 4, 4, 4, 2, 13, 5, 0, 6]",<class 'list'>,<class 'int'>,11
25,"[14, 5, 2, 13, 7, 5, 6, 9]",<class 'list'>,<class 'int'>,8
26,"[13, 11, 8, 1, 13]",<class 'list'>,<class 'int'>,5
27,"[1, 10, 1, 14, 13]",<class 'list'>,<class 'int'>,5
28,"[13, 12, 8, 8]",<class 'list'>,<class 'int'>,4
29,"[12, 12, 13, 1, 5, 13, 6, 1, 10, 9, 13]",<class 'list'>,<class 'int'>,11
30,"[0, 12, 14, 5, 8]",<class 'list'>,<class 'int'>,5
31,"[7, 12, 3]",<class 'list'>,<class 'int'>,3
32,"[13, 6, 13, 12, 0, 12, 0, 9]",<class 'list'>,<class 'int'>,8
33,"[5, 11, 13, 0, 9, 6, 10, 11, 5, 10, 7]",<class 'list'>,<class 'int'>,11
34,"[9, 8, 5, 5, 6]",<class 'list'>,<class 'int'>,5
35,"[13, 0, 9, 7, 13, 6, 8, 4, 13, 3, 1, 5, 7, 5]",<class 'list'>,<class 'int'>,14
36,"[13, 6, 12, 14, 5, 6, 8, 4, 10, 9, 3]",<class 'list'>,<class 'int'>,11
37,"[14, 9, 3, 8, 11, 14, 6, 3, 3, 2, 8, 5, 8]",<class 'list'>,<class 'int'>,13
38,"[11, 7, 5, 9, 0, 2, 6, 6, 13]",<class 'list'>,<class 'int'>,9
39,"[2, 14, 2]",<class 'list'>,<class 'int'>,3
40,"[11, 2, 11]",<class 'list'>,<class 'int'>,3
41,"[2, 11, 3, 4, 2, 7, 7, 8, 13, 12, 5, 9, 3, 2]",<class 'list'>,<class 'int'>,14
42,"[2, 6, 2]",<class 'list'>,<class 'int'>,3
43,"[14, 5, 3, 6, 8, 12]",<class 'list'>,<class 'int'>,6
44,"[12, 12, 2, 10, 5, 5]",<class 'list'>,<class 'int'>,6
45,"[8, 7, 0, 1, 4]",<class 'list'>,<class 'int'>,5
46,"[11, 12, 14, 0, 14, 5, 2, 1, 11, 13, 14, 9]",<class 'list'>,<class 'int'>,12
47,"[12, 0, 10, 4, 10, 8, 10, 14, 6]",<class 'list'>,<class 'int'>,9
48,"[14, 3, 4, 4]",<class 'list'>,<class 'int'>,4
49,"[11, 13, 5, 3, 9, 7, 13, 0, 4, 12, 12, 1, 2, 8]",<class 'list'>,<class 'int'>,14
50,"[8, 13, 0, 6, 4, 1, 3, 10]",<class 'list'>,<class 'int'>,8
51,"[5, 8, 9, 7, 9, 8, 5, 2, 13, 10]",<class 'list'>,<class 'int'>,10
52,"[0, 4, 13, 4, 10, 10]",<class 'list'>,<class 'int'>,6
53,"[12, 0, 10, 0, 14]",<class 'list'>,<class 'int'>,5
54,"[7, 9, 5, 14, 0]",<class 'list'>,<class 'int'>,5
55,"[12, 4, 9, 13, 9, 9]",<class 'list'>,<class 'int'>,6
56,"[9, 0, 10, 12, 14, 5, 8, 3, 7, 8, 2, 10, 0, 13]",<class 'list'>,<class 'int'>,14
57,"[14, 11, 11, 12, 10, 13, 4, 5, 7, 5]",<class 'list'>,<class 'int'>,10
58,"[2, 0, 10, 8, 0, 12]",<class 'list'>,<class 'int'>,6
59,"[4, 13, 12, 1, 1, 2, 2, 1, 5]",<class 'list'>,<class 'int'>,9
60,"[13, 7, 6, 1, 0, 1, 1, 3]",<class 'list'>,<class 'int'>,8
61,"[9, 8, 7, 14, 9, 13]",<class 'list'>,<class 'int'>,6
62,"[13, 11, 14, 3, 9, 14, 5, 2, 11, 11, 6, 13, 3]",<class 'list'>,<class 'int'>,13
63,"[11, 5, 6, 0, 3, 4, 4, 11, 4, 1, 2, 10, 14, 1]",<class 'list'>,<class 'int'>,14
64,"[12, 10, 11, 11, 3, 14, 5, 9, 13, 13, 11, 7]",<class 'list'>,<class 'int'>,12
65,"[9, 4, 11, 11, 5, 10, 7, 11, 7, 11, 1, 6, 12]",<class 'list'>,<class 'int'>,13
66,"[8, 14, 8, 5, 13, 1, 7, 13, 12, 10, 9, 13, 10, 5]",<class 'list'>,<class 'int'>,14
67,"[2, 1, 14, 3, 7]",<class 'list'>,<class 'int'>,5
68,"[14, 10, 1, 1, 13, 5, 3, 3, 8, 2, 6]",<class 'list'>,<class 'int'>,11
69,"[2, 8, 13, 4, 4, 10, 8, 7, 10, 9, 6]",<class 'list'>,<class 'int'>,11
70,"[14, 0, 14, 4, 6, 8, 12]",<class 'list'>,<class 'int'>,7
71,"[0, 2, 5]",<class 'list'>,<class 'int'>,3
72,"[6, 4, 10, 10, 9, 7, 8]",<class 'list'>,<class 'int'>,7
73,"[11, 12, 12, 1, 0, 13, 7, 1, 2, 3, 9, 2]",<class 'list'>,<class 'int'>,12
74,"[7, 9, 13, 6, 14, 4, 1, 1]",<class 'list'>,<class 'int'>,8
75,"[7, 13, 13, 0, 3, 13, 8, 7, 12, 6, 4, 13, 6, 5]",<class 'list'>,<class 'int'>,14
